2026-04-01 00:14:48,012 INFO =======================================================
2026-04-01 00:14:48,012 INFO AGENTE DE EMPLEO — 01/04/2026 — 20260401_001448
2026-04-01 00:14:48,013 INFO =======================================================
2026-04-01 00:14:48,039 INFO  🔎 Buscando [Data]...
2026-04-01 00:14:48,471 WARNING    🚫 Filtrada oferta de fuera: brighton, england, united kingdom (ID: 4392417434)
2026-04-01 00:14:48,471 WARNING    🚫 Filtrada oferta de fuera: west sussex, england, united kingdom (ID: 4392479745)
2026-04-01 00:14:48,471 WARNING    🚫 Filtrada oferta de fuera: cranleigh, england, united kingdom (ID: 4392412176)
2026-04-01 00:14:48,471 WARNING    🚫 Filtrada oferta de fuera: hove, england, united kingdom (ID: 4395854868)
2026-04-01 00:14:48,471 WARNING    🚫 Filtrada oferta de fuera: polegate, england, united kingdom (ID: 4393552866)
2026-04-01 00:14:48,471 WARNING    🚫 Filtrada oferta de fuera: brighton, england, united kingdom (ID: 4392463771)
2026-04-01 00:14:48,471 WARNING    🚫 Filtrada oferta de fuera: lewes, england, united kingdom (ID: 4393271425)
2026-04-01 00:14:48,471 WARNING    🚫 Filtrada oferta de fuera: brighton, england, united kingdom (ID: 4393289889)
2026-04-01 00:14:48,471 WARNING    🚫 Filtrada oferta de fuera: crawley, england, united kingdom (ID: 4395663622)
2026-04-01 00:14:48,471 WARNING    🚫 Filtrada oferta de fuera: worthing, england, united kingdom (ID: 4392481024)
2026-04-01 00:14:48,471 INFO     ✅ +0 locales encontradas.
2026-04-01 00:14:51,472 INFO  🔎 Buscando [AI]...
2026-04-01 00:14:51,860 WARNING    🚫 Filtrada oferta de fuera: brighton, england, united kingdom (ID: 4392417434)
2026-04-01 00:14:51,860 WARNING    🚫 Filtrada oferta de fuera: east grinstead, england, united kingdom (ID: 4393599231)
2026-04-01 00:14:51,860 WARNING    🚫 Filtrada oferta de fuera: crawley, england, united kingdom (ID: 4393504581)
2026-04-01 00:14:51,860 WARNING    🚫 Filtrada oferta de fuera: brighton, england, united kingdom (ID: 4393289889)
2026-04-01 00:14:51,860 WARNING    🚫 Filtrada oferta de fuera: brighton, england, united kingdom (ID: 4392492316)
2026-04-01 00:14:51,860 WARNING    🚫 Filtrada oferta de fuera: shoreham-by-sea, england, united kingdom (ID: 4392484470)
2026-04-01 00:14:51,860 WARNING    🚫 Filtrada oferta de fuera: eastbourne, england, united kingdom (ID: 4392434744)
2026-04-01 00:14:51,861 WARNING    🚫 Filtrada oferta de fuera: brighton, england, united kingdom (ID: 4392431196)
2026-04-01 00:14:51,861 WARNING    🚫 Filtrada oferta de fuera: brighton, england, united kingdom (ID: 4392133777)
2026-04-01 00:14:51,861 WARNING    🚫 Filtrada oferta de fuera: brighton, england, united kingdom (ID: 4392482095)
2026-04-01 00:14:51,861 INFO     ✅ +0 locales encontradas.
2026-04-01 00:14:54,861 INFO  🔎 Buscando [Cloud]...
2026-04-01 00:14:55,237 WARNING    🚫 Filtrada oferta de fuera: worthing, england, united kingdom (ID: 4392460421)
2026-04-01 00:14:55,237 WARNING    🚫 Filtrada oferta de fuera: greater brighton and hove area (ID: 4393569350)
2026-04-01 00:14:55,237 WARNING    🚫 Filtrada oferta de fuera: crawley, england, united kingdom (ID: 4393504581)
2026-04-01 00:14:55,237 WARNING    🚫 Filtrada oferta de fuera: hove, england, united kingdom (ID: 4393549459)
2026-04-01 00:14:55,237 WARNING    🚫 Filtrada oferta de fuera: crawley, england, united kingdom (ID: 4392194687)
2026-04-01 00:14:55,237 WARNING    🚫 Filtrada oferta de fuera: crawley, england, united kingdom (ID: 4383793671)
2026-04-01 00:14:55,237 WARNING    🚫 Filtrada oferta de fuera: east sussex, england, united kingdom (ID: 4393534039)
2026-04-01 00:14:55,237 WARNING    🚫 Filtrada oferta de fuera: worthing, england, united kingdom (ID: 4392467249)
2026-04-01 00:14:55,237 WARNING    🚫 Filtrada oferta de fuera: crawley, england, united kingdom (ID: 4343741577)
2026-04-01 00:14:55,237 WARNING    🚫 Filtrada oferta de fuera: brighton, england, united kingdom (ID: 4393597404)
2026-04-01 00:14:55,237 INFO     ✅ +0 locales encontradas.
2026-04-01 00:14:58,238 INFO  🔎 Buscando [Analytics]...
2026-04-01 00:14:58,635 WARNING    🚫 Filtrada oferta de fuera: cranleigh, england, united kingdom (ID: 4392412176)
2026-04-01 00:14:58,635 WARNING    🚫 Filtrada oferta de fuera: brighton, england, united kingdom (ID: 4392417434)
